,price,lotsize,bedrooms,bathrms
1,42000,5850,3,1
2,38500,4000,2,1
3,49500,3060,3,1
4,60500,6650,3,1
5,61000,6360,2,1
6,66000,4160,3,1
7,66000,3880,3,2
8,69000,4160,3,1
9,83800,4800,3,1
10,88500,5500,3,2
11,90000,7200,3,2
12,30500,3000,2,1
13,27000,1700,3,1
14,36000,2880,3,1
15,37000,3600,2,1
16,37900,3185,2,1
17,40500,3300,3,1
18,40750,5200,4,1
19,45000,3450,1,1
20,45000,3986,2,2
21,48500,4785,3,1
22,65900,4510,4,2
23,37900,4000,3,1
24,38000,3934,2,1
25,42000,4960,2,1
26,42300,3000,2,1
27,43500,3800,2,1
28,44000,4960,2,1
29,44500,3000,3,1
30,44900,4500,3,1
31,45000,3500,2,1
32,48000,3500,4,1
33,49000,4000,2,1
34,51500,4500,2,1
35,61000,6360,2,1
36,61000,4500,2,1
37,61700,4032,2,1
38,67000,5170,3,1
39,82000,5400,4,2
40,54500,3150,2,2
41,66500,3745,3,1
42,70000,4520,3,1
43,82000,4640,4,1
44,92000,8580,5,3
45,38000,2000,2,1
46,44000,2160,3,1
47,41000,3040,2,1
48,43000,3090,3,1
49,48000,4960,4,1
50,54800,3350,3,1
51,55000,5300,5,2
52,57000,4100,4,1
53,68000,9166,2,1
54,95000,4040,3,1
55,38000,3630,3,3
56,25000,3620,2,1
57,25245,2400,3,1
58,56000,7260,3,2
59,35500,4400,3,1
60,30000,2400,3,1
61,48000,4120,2,1
62,48000,4750,2,1
63,52000,4280,2,1
64,54000,4820,3,1
65,56000,5500,4,1
66,60000,5500,3,1
67,60000,5040,3,1
68,67000,6000,2,1
69,47000,2500,2,1
70,70000,4095,3,1
71,45000,4095,2,1
72,51000,3150,3,1
73,32500,1836,2,1
74,34000,2475,3,1
75,35000,3210,3,1
76,36000,3180,3,1
77,45000,1650,3,1
78,47000,3180,4,1
79,55000,3180,2,2
80,63900,6360,2,1
81,50000,4240,3,1
82,35000,3240,2,1
83,50000,3650,3,1
84,43000,3240,3,1
85,55500,3780,2,1
86,57000,6480,3,1
87,60000,5850,2,1
88,78000,3150,3,2
89,35000,3000,2,1
90,44000,3090,2,1
91,47000,6060,3,1
92,58000,5900,4,2
93,163000,7420,4,1
94,128000,8500,3,2
95,123500,8050,3,1
96,39000,6800,2,1
97,53900,8250,3,1
98,59900,8250,3,1
99,35000,3500,2,1
100,43000,2835,2,1
101,57000,4500,3,2
102,79000,3300,3,3
103,125000,4320,3,1
104,132000,3500,4,2
105,58000,4992,3,2
106,43000,4600,2,1
107,48000,3720,2,1
108,58500,3680,3,2
109,73000,3000,3,2
110,63500,3750,2,1
111,43000,5076,3,1
112,46500,4500,2,1
113,92000,5000,3,1
