X,Y
0.051267,1
-0.092742,1
-0.21371,1
-0.375,1
-0.51325,1
-0.52477,1
-0.39804,1
-0.30588,1
0.016705,1
0.13191,1
0.38537,1
0.52938,1
0.63882,1
0.73675,1
0.54666,1
0.322,1
0.16647,1
-0.046659,1
-0.17339,1
-0.47869,1
-0.60541,1
-0.62846,1
-0.59389,1
-0.42108,1
-0.11578,1
0.20104,1
0.46601,1
0.67339,1
-0.13882,1
-0.29435,1
-0.26555,1
-0.16187,1
-0.17339,1
-0.28283,1
-0.36348,1
-0.30012,1
-0.23675,1
-0.06394,1
0.062788,1
0.22984,1
0.2932,1
0.48329,1
0.64459,1
0.46025,1
0.6273,1
0.57546,1
0.72523,1
0.22408,1
0.44297,1
0.322,1
0.13767,1
-0.0063364,1
-0.092742,1
-0.20795,1
-0.20795,1
-0.43836,1
-0.21947,1
-0.13882,1
0.18376,0
0.22408,0
0.29896,0
0.50634,0
0.61578,0
0.60426,0
0.76555,0
0.92684,0
0.82316,0
0.96141,0
0.93836,0
0.86348,0
0.89804,0
0.85196,0
0.82892,0
0.79435,0
0.59274,0
0.51786,0
0.46601,0
0.35081,0
0.28744,0
0.085829,0
0.14919,0
-0.13306,0
-0.40956,0
-0.39228,0
-0.74366,0
-0.69758,0
-0.75518,0
-0.69758,0
-0.4038,0
-0.38076,0
-0.50749,0
-0.54781,0
0.10311,0
0.057028,0
-0.10426,0
-0.081221,0
0.28744,0
0.39689,0
0.63882,0
0.82316,0
0.67339,0
1.0709,0
-0.046659,0
-0.23675,0
-0.15035,0
-0.49021,0
-0.46717,0
-0.28859,0
-0.61118,0
-0.66302,0
-0.59965,0
-0.72638,0
-0.83007,0
-0.72062,0
-0.59389,0
-0.48445,0
-0.0063364,0
0.63265,0
